Jahr,Gold,Silber,Bronze
1900 London *,Vereinigtes Konigreich 1801 Großbritannien,Dritte Französische Republik Frankreich,Belgien Belgien
1904 St. Louis **,Kanada 1868 Kanada,Vereinigte Staaten 45 Vereinigte Staaten,Vereinigte Staaten 45 Vereinigte Staaten
1906 Athen (Zwischenspiele) ***,Danemark Dänemark,Osmanisches Reich 1844 Osmanisches Reich,Osmanisches Reich 1844 Osmanisches Reich
1908 London,Vereinigtes Konigreich 1801 Großbritannien,Danemark Dänemark,Niederlande Niederlande
1912 Stockholm,Vereinigtes Konigreich 1801 Großbritannien,Danemark Dänemark,Niederlande Niederlande
1920 Antwerpen,Belgien Belgien,Spanien 1875 Spanien,Niederlande Niederlande
1924 Paris,Uruguay Uruguay,Schweiz Schweiz,Schweden Schweden
1928 Amsterdam,Uruguay Uruguay,Argentinien Argentinien,Italien 1861 Italien
1936 Berlin,Italien 1861 Italien,Osterreich Österreich,Norwegen Norwegen
1948 London,Schweden Schweden,Jugoslawien Jugoslawien,Danemark Dänemark
1952 Helsinki,Ungarn 1949 Ungarn,Jugoslawien Jugoslawien,Schweden Schweden
1956 Melbourne,Sowjetunion 1955 Sowjetunion,Jugoslawien Jugoslawien,Bulgarien 1948 Bulgarien
1960 Rom,Jugoslawien Jugoslawien,Danemark Dänemark,Ungarn 1957 Ungarn
1964 Tokio,Ungarn 1957 Ungarn,Tschechoslowakei Tschechoslowakei,Deutschland Mannschaft Gesamtdeutsch Deutschland
1968 Mexiko-Stadt,Ungarn 1957 Ungarn,Bulgarien 1967 Bulgarien,Japan 1870 Japan
1972 München,Polen 1944 Polen,Ungarn 1957 Ungarn,Sowjetunion 1955 Sowjetunion ****Deutschland Demokratische Republik 1949 DDR
1976 Montreal,Deutschland Demokratische Republik 1949 DDR,Polen 1944 Polen,Sowjetunion 1955 Sowjetunion
1980 Moskau,Tschechoslowakei Tschechoslowakei,Deutschland Demokratische Republik 1949 DDR,Sowjetunion 1955 Sowjetunion
1984 Los Angeles,Frankreich Frankreich,Brasilien 1968 Brasilien,Jugoslawien Jugoslawien
1988 Seoul,Sowjetunion Sowjetunion,Brasilien 1968 Brasilien,Deutschland BR BR Deutschland
1992 Barcelona,Spanien Spanien,Polen Polen,Ghana Ghana
1996 Atlanta,Nigeria Nigeria,Argentinien Argentinien,Brasilien Brasilien
2000 Sydney,Kamerun Kamerun,Spanien Spanien,Chile Chile
2004 Athen,Argentinien Argentinien,Paraguay Paraguay,Italien Italien
2008 Peking,Argentinien Argentinien,Nigeria Nigeria,Brasilien Brasilien
2012 London,Mexiko Mexiko,Brasilien Brasilien,Korea Sud Südkorea
2016 Rio de Janeiro,Brasilien Brasilien,Deutschland Deutschland,Nigeria Nigeria
2020 Tokio,Brasilien Brasilien,Spanien Spanien,Mexiko Mexiko
2024 Paris,Spanien Spanien,Frankreich Frankreich,Marokko Marokko
1996 Atlanta,Vereinigte Staaten Vereinigte Staaten,China Volksrepublik Volksrepublik China,Norwegen Norwegen
2000 Sydney,Norwegen Norwegen,Vereinigte Staaten Vereinigte Staaten,Deutschland Deutschland
2004 Athen,Vereinigte Staaten Vereinigte Staaten,Brasilien Brasilien,Deutschland Deutschland
2008 Peking,Vereinigte Staaten Vereinigte Staaten,Brasilien Brasilien,Deutschland Deutschland
2012 London,Vereinigte Staaten Vereinigte Staaten,Japan Japan,Kanada Kanada
2016 Rio de Janeiro,Deutschland Deutschland,Schweden Schweden,Kanada Kanada
2020 Tokio,Kanada Kanada,Schweden Schweden,Vereinigte Staaten Vereinigte Staaten
2024 Paris,Vereinigte Staaten Vereinigte Staaten,Brasilien Brasilien,Deutschland Deutschland
